experiment_id,activ_fun,lr_schedule,total_steps,nb_simulations,score_weight,n_flow_layers,n_bijector_layers,c2st,nlp,seed
exp500000.00011978501,silu,exp_decay,50000,100000,0.0001,8,5,,,7
exp500000.00011378501,silu,exp_decay,50000,70000,0.0001,8,5,,,7
exp500000.00011578501,silu,exp_decay,50000,80000,0.0001,8,5,,,7
exp500000.00011478501,silu,exp_decay,50000,75000,0.0001,8,5,,,7
exp500000.00011878501,silu,exp_decay,50000,95000,0.0001,8,5,,,7
exp500000.0378501,silu,exp_decay,50000,20000,0.0,8,5,,,7
exp500000.0178501,silu,exp_decay,50000,5000,0.0,8,5,,,7
exp500000.0778501,silu,exp_decay,50000,40000,0.0,8,5,,,7
exp500000.0478501,silu,exp_decay,50000,25000,0.0,8,5,,,7
exp500000.0278501,silu,exp_decay,50000,15000,0.0,8,5,,,7
exp500000.0878501,silu,exp_decay,50000,45000,0.0,8,5,,,7
exp500000.0578501,silu,exp_decay,50000,30000,0.0,8,5,,,7
exp500000.0678501,silu,exp_decay,50000,35000,0.0,8,5,,,7
exp500000.01078501,silu,exp_decay,50000,55000,0.0,8,5,,,7
exp500000.0078501,silu,exp_decay,50000,1000,0.0,8,5,,,7
exp500000.01178501,silu,exp_decay,50000,60000,0.0,8,5,,,7
exp500000.01378501,silu,exp_decay,50000,70000,0.0,8,5,,,7
exp500000.01278501,silu,exp_decay,50000,65000,0.0,8,5,,,7
exp500000.01088501,silu,exp_decay,50000,55000,0.0,8,5,,,8
exp500000.01978501,silu,exp_decay,50000,100000,0.0,8,5,,,7
exp500000.01588501,silu,exp_decay,50000,80000,0.0,8,5,,,8
exp500000.01688501,silu,exp_decay,50000,85000,0.0,8,5,,,8
exp500000.01478501,silu,exp_decay,50000,75000,0.0,8,5,,,7
exp500000.01488501,silu,exp_decay,50000,75000,0.0,8,5,,,8
exp500000.01788501,silu,exp_decay,50000,90000,0.0,8,5,,,8
exp500000.0688501,silu,exp_decay,50000,35000,0.0,8,5,,,8
exp500000.01388501,silu,exp_decay,50000,70000,0.0,8,5,,,8
exp500000.01878501,silu,exp_decay,50000,95000,0.0,8,5,,,7
exp500000.0788501,silu,exp_decay,50000,40000,0.0,8,5,,,8
exp500000.01678501,silu,exp_decay,50000,85000,0.0,8,5,,,7
exp500000.01188501,silu,exp_decay,50000,60000,0.0,8,5,,,8
exp500000.01888501,silu,exp_decay,50000,95000,0.0,8,5,,,8
exp500000.0388501,silu,exp_decay,50000,20000,0.0,8,5,,,8
exp500000.01778501,silu,exp_decay,50000,90000,0.0,8,5,,,7
exp500000.0188501,silu,exp_decay,50000,5000,0.0,8,5,,,8
exp500000.0888501,silu,exp_decay,50000,45000,0.0,8,5,,,8
exp500000.01288501,silu,exp_decay,50000,65000,0.0,8,5,,,8
exp500000.0288501,silu,exp_decay,50000,15000,0.0,8,5,,,8
exp500000.0588501,silu,exp_decay,50000,30000,0.0,8,5,,,8
exp500000.0488501,silu,exp_decay,50000,25000,0.0,8,5,,,8
exp500000.01578501,silu,exp_decay,50000,80000,0.0,8,5,,,7
exp500000.01988501,silu,exp_decay,50000,100000,0.0,8,5,,,8
exp500000.0088501,silu,exp_decay,50000,1000,0.0,8,5,,,8
exp500000.0298501,silu,exp_decay,50000,15000,0.0,8,5,,,9
exp500000.0198501,silu,exp_decay,50000,5000,0.0,8,5,,,9
exp500000.0098501,silu,exp_decay,50000,1000,0.0,8,5,,,9
exp500000.0398501,silu,exp_decay,50000,20000,0.0,8,5,,,9
exp500000.0498501,silu,exp_decay,50000,25000,0.0,8,5,,,9
exp500000.0598501,silu,exp_decay,50000,30000,0.0,8,5,,,9
exp500000.0698501,silu,exp_decay,50000,35000,0.0,8,5,,,9
exp500000.0798501,silu,exp_decay,50000,40000,0.0,8,5,,,9
exp500000.0898501,silu,exp_decay,50000,45000,0.0,8,5,,,9
exp500000.01098501,silu,exp_decay,50000,55000,0.0,8,5,,,9
exp500000.01398501,silu,exp_decay,50000,70000,0.0,8,5,,,9
exp500000.01298501,silu,exp_decay,50000,65000,0.0,8,5,,,9
exp500000.01198501,silu,exp_decay,50000,60000,0.0,8,5,,,9
exp500000.01498501,silu,exp_decay,50000,75000,0.0,8,5,,,9
exp500000.01598501,silu,exp_decay,50000,80000,0.0,8,5,,,9
exp500000.01698501,silu,exp_decay,50000,85000,0.0,8,5,,,9
exp500000.01798501,silu,exp_decay,50000,90000,0.0,8,5,,,9
exp500000.01898501,silu,exp_decay,50000,95000,0.0,8,5,,,9
exp500000.01998501,silu,exp_decay,50000,100000,0.0,8,5,,,9
exp500000.0268501,silu,exp_decay,50000,15000,0.0,8,5,,,6
exp500000.0168501,silu,exp_decay,50000,5000,0.0,8,5,,,6
exp500000.0068501,silu,exp_decay,50000,1000,0.0,8,5,,,6
exp500000.0368501,silu,exp_decay,50000,20000,0.0,8,5,,,6
exp500000.0468501,silu,exp_decay,50000,25000,0.0,8,5,,,6
exp500000.0568501,silu,exp_decay,50000,30000,0.0,8,5,,,6
exp500000.0668501,silu,exp_decay,50000,35000,0.0,8,5,,,6
exp500000.0868501,silu,exp_decay,50000,45000,0.0,8,5,,,6
exp500000.0768501,silu,exp_decay,50000,40000,0.0,8,5,,,6
exp500000.01168501,silu,exp_decay,50000,60000,0.0,8,5,,,6
exp500000.01368501,silu,exp_decay,50000,70000,0.0,8,5,,,6
exp500000.01268501,silu,exp_decay,50000,65000,0.0,8,5,,,6
exp500000.01068501,silu,exp_decay,50000,55000,0.0,8,5,,,6
exp500000.01668501,silu,exp_decay,50000,85000,0.0,8,5,,,6
exp500000.01568501,silu,exp_decay,50000,80000,0.0,8,5,,,6
exp500000.01468501,silu,exp_decay,50000,75000,0.0,8,5,,,6
exp500000.01768501,silu,exp_decay,50000,90000,0.0,8,5,,,6
exp500000.01868501,silu,exp_decay,50000,95000,0.0,8,5,,,6
exp500000.01968501,silu,exp_decay,50000,100000,0.0,8,5,,,6
exp500000.0001568501,silu,exp_decay,50000,30000,0.0001,8,5,,,6
exp500000.0001468501,silu,exp_decay,50000,25000,0.0001,8,5,,,6
exp500000.0001868501,silu,exp_decay,50000,45000,0.0001,8,5,,,6
exp500000.0001268501,silu,exp_decay,50000,15000,0.0001,8,5,,,6
exp500000.00011068501,silu,exp_decay,50000,55000,0.0001,8,5,,,6
exp500000.00011268501,silu,exp_decay,50000,65000,0.0001,8,5,,,6
exp500000.00011568501,silu,exp_decay,50000,80000,0.0001,8,5,,,6
exp500000.00011168501,silu,exp_decay,50000,60000,0.0001,8,5,,,6
exp500000.0001668501,silu,exp_decay,50000,35000,0.0001,8,5,,,6
exp500000.00011468501,silu,exp_decay,50000,75000,0.0001,8,5,,,6
exp500000.00011668501,silu,exp_decay,50000,85000,0.0001,8,5,,,6
exp500000.0001368501,silu,exp_decay,50000,20000,0.0001,8,5,,,6
exp500000.00011368501,silu,exp_decay,50000,70000,0.0001,8,5,,,6
exp500000.00011768501,silu,exp_decay,50000,90000,0.0001,8,5,,,6
exp500000.0001168501,silu,exp_decay,50000,5000,0.0001,8,5,,,6
exp500000.0001068501,silu,exp_decay,50000,1000,0.0001,8,5,,,6
exp500000.0001768501,silu,exp_decay,50000,40000,0.0001,8,5,,,6
exp500000.00011868501,silu,exp_decay,50000,95000,0.0001,8,5,,,6
exp500000.00011968501,silu,exp_decay,50000,100000,0.0001,8,5,,,6
exp500000.01058501,silu,exp_decay,50000,55000,0.0,8,5,,,5
exp500000.01758501,silu,exp_decay,50000,90000,0.0,8,5,,,5
exp500000.0558501,silu,exp_decay,50000,30000,0.0,8,5,,,5
exp500000.0001858501,silu,exp_decay,50000,45000,0.0001,8,5,,,5
exp500000.00011658501,silu,exp_decay,50000,85000,0.0001,8,5,,,5
exp500000.00011958501,silu,exp_decay,50000,100000,0.0001,8,5,,,5
exp500000.01458501,silu,exp_decay,50000,75000,0.0,8,5,,,5
exp500000.01358501,silu,exp_decay,50000,70000,0.0,8,5,,,5
exp500000.00011158501,silu,exp_decay,50000,60000,0.0001,8,5,,,5
exp500000.00011858501,silu,exp_decay,50000,95000,0.0001,8,5,,,5
exp500000.0658501,silu,exp_decay,50000,35000,0.0,8,5,,,5
exp500000.01258501,silu,exp_decay,50000,65000,0.0,8,5,,,5
exp500000.00011058501,silu,exp_decay,50000,55000,0.0001,8,5,,,5
exp500000.00011558501,silu,exp_decay,50000,80000,0.0001,8,5,,,5
exp500000.00011258501,silu,exp_decay,50000,65000,0.0001,8,5,,,5
exp500000.0858501,silu,exp_decay,50000,45000,0.0,8,5,,,5
exp500000.01658501,silu,exp_decay,50000,85000,0.0,8,5,,,5
exp500000.01558501,silu,exp_decay,50000,80000,0.0,8,5,,,5
exp500000.0001558501,silu,exp_decay,50000,30000,0.0001,8,5,,,5
exp500000.0001358501,silu,exp_decay,50000,20000,0.0001,8,5,,,5
exp500000.0458501,silu,exp_decay,50000,25000,0.0,8,5,,,5
exp500000.0001458501,silu,exp_decay,50000,25000,0.0001,8,5,,,5
exp500000.0001658501,silu,exp_decay,50000,35000,0.0001,8,5,,,5
exp500000.00011358501,silu,exp_decay,50000,70000,0.0001,8,5,,,5
exp500000.00011758501,silu,exp_decay,50000,90000,0.0001,8,5,,,5
exp500000.0358501,silu,exp_decay,50000,20000,0.0,8,5,,,5
exp500000.00011458501,silu,exp_decay,50000,75000,0.0001,8,5,,,5
exp500000.01858501,silu,exp_decay,50000,95000,0.0,8,5,,,5
exp500000.0001758501,silu,exp_decay,50000,40000,0.0001,8,5,,,5
exp500000.0758501,silu,exp_decay,50000,40000,0.0,8,5,,,5
exp500000.0348501,silu,exp_decay,50000,20000,0.0,8,5,,,4
exp500000.0258501,silu,exp_decay,50000,15000,0.0,8,5,,,5
exp500000.0001258501,silu,exp_decay,50000,15000,0.0001,8,5,,,5
exp500000.0248501,silu,exp_decay,50000,15000,0.0,8,5,,,4
exp500000.01958501,silu,exp_decay,50000,100000,0.0,8,5,,,5
exp500000.0448501,silu,exp_decay,50000,25000,0.0,8,5,,,4
exp500000.0148501,silu,exp_decay,50000,5000,0.0,8,5,,,4
exp500000.0158501,silu,exp_decay,50000,5000,0.0,8,5,,,5
exp500000.0058501,silu,exp_decay,50000,1000,0.0,8,5,,,5
exp500000.0001058501,silu,exp_decay,50000,1000,0.0001,8,5,,,5
exp500000.0001158501,silu,exp_decay,50000,5000,0.0001,8,5,,,5
exp500000.0048501,silu,exp_decay,50000,1000,0.0,8,5,,,4
exp500000.0548501,silu,exp_decay,50000,30000,0.0,8,5,,,4
exp500000.0748501,silu,exp_decay,50000,40000,0.0,8,5,,,4
exp500000.00011848501,silu,exp_decay,50000,95000,0.0001,8,5,,,4
